cell_line_name,run_accession,tissue,disease,disease_primary,disease_secondary,disease_stage,age_at_sampling,sex,ethnicity,genomewide,promoter,cgi,cpg_shore,cpg_shelf,methylation_canyon,exon,intron,gene_body,LINE,SINE,LTR
HUP-T3,SRR8633202,pancreas,carcinoma,carcinoma,,metastasis,66.0,male,Asian,0.43537,0.133025,0.226224,0.521341,0.698249,0.202486,0.422269,0.47041,0.460446,0.594152,0.671354,0.612187
Hs 578T,SRR8633203,breast,carcinoma (ductal_carcinoma),carcinoma ,ductal_carcinoma,primary,74.0,female,Caucasian,0.369691,0.111609,0.187281,0.455926,0.593663,0.157391,0.372389,0.418613,0.408411,0.47649,0.571642,0.451819
Hs 604.T,SRR8633204,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (Hodgkin_lymphoma),lymphoid_neoplasm ,Hodgkin_lymphoma,primary,21.0,male,Caucasian,0.424306,0.0625887,0.122387,0.502219,0.712698,0.0586895,0.351073,0.461062,0.43051,0.68982,0.752171,0.724887
HuH-6,SRR8633205,liver,other (hepatoblastoma),other ,hepatoblastoma,primary,,male,Asian,0.472702,0.154859,0.267791,0.533262,0.698996,0.242044,0.469424,0.526794,0.514087,0.598092,0.687866,0.601946
HuH28,SRR8633206,biliary_tract,carcinoma,carcinoma,,primary,,,Asian,0.285886,0.0718128,0.138065,0.348817,0.487526,0.103035,0.306073,0.334783,0.329652,0.364163,0.439437,0.332825
HuNS1,SRR8633207,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (plasma_cell_myeloma),lymphoid_neoplasm ,plasma_cell_myeloma,primary,,male,Caucasian,0.368482,0.19213,0.274804,0.411044,0.491735,0.267882,0.395387,0.392851,0.397834,0.40045,0.462929,0.413941
HuH-7,SRR8633208,liver,carcinoma (hepatocellular_carcinoma),carcinoma ,hepatocellular_carcinoma,primary,57.0,male,Asian,0.444752,0.105874,0.188296,0.518103,0.71184,0.141907,0.417466,0.493118,0.474198,0.611306,0.687047,0.625559
HuCCT1,SRR8633209,biliary_tract,carcinoma,carcinoma,,primary,,male,Asian,0.452884,0.164802,0.269303,0.511776,0.668381,0.259567,0.455642,0.482217,0.479514,0.570746,0.669832,0.594881
HT,SRR8633210,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (B_cell_lymphoma_unspecified),lymphoid_neoplasm ,B_cell_lymphoma_unspecified,metastasis,70.0,male,Caucasian,0.533825,0.238123,0.335051,0.59978,0.754197,0.324441,0.504472,0.548991,0.540154,0.702927,0.756601,0.743949
huH-1,SRR8633211,liver,carcinoma (hepatocellular_carcinoma),carcinoma ,hepatocellular_carcinoma,primary,35.0,male,Asian,0.282635,0.0721375,0.136117,0.347493,0.487797,0.0932969,0.298781,0.328935,0.322993,0.369613,0.483647,0.367205
